reactions,data_type,kcat,MW,kcat_MW
UREA,DLkcat,198872.767,86284.88200000016,8297420.644325603
DPCOAK,DLkcat,1496.9354,,
CS_num1,DLkcat,313.1683,83456.14580000007,13508.961733049491
RBFK_num1,DLkcat,310.1346,,
ACKrh,DLkcat,278.0965,86273.74540000009,11604.311315780653
PDHam1hi,DLkcat,256.13,77021.76670000005,11971.524927381332
ASNS1_num1,DLkcat,247.6326,,
SUCD1,DLkcat,198.2929,116499.3867000001,6127.5381804220215
NADS1n,DLkcat,159.5276,60789.67080000007,9447.318145371488
GLYATm,DLkcat,134.2837,86566.42220000012,5584.39759567653
OXGDC,DLkcat,120.3631,128182.5136000004,3380.392128618694
UAGCVT_num1,DLkcat,109.1995,,
SERAT,DLkcat,107.8422,,
CYSDS,DLkcat,107.7803,169963.0216000004,2282.902929986502
OCOAT1,DLkcat,102.2373,48729.47320000004,7553.011675077983
AGTi,DLkcat,101.9654,91484.36240000011,4012.439179441661
PTAr,DLkcat,92.5956,,
UAG2EMA,DLkcat,81.1012,,
PC,DLkcat,79.7924,511739.8716000024,561.3255013760757
OXADCm_num1,DLkcat,58.4359,,
R00026_num1,DLkcat,55.2074,,
MDHm_num1,DLkcat,53.8423,,
ASP1DC,DLkcat,53.7668,55599.36799999996,3481.3431692245163
HCYSMT,DLkcat,48.1693,,
ASPTA_num1,DLkcat,46.1338,86174.97420000014,1927.2611514167384
PSP_L,DLkcat,44.9282,,
TRPS2,DLkcat,41.4937,146057.55180000007,1022.7291787318586
ADPT,DLkcat,33.2277,37749.3834,3168.7860628738113
NFORGLUAH_num1,DLkcat,32.5951,,
SUCOAS,DLkcat,32.5067,145505.8832,804.2569649170035
TMDPK,DLkcat,32.2578,,
UTCY,DLkcat,32.1623,,
ADSK_num1,DLkcat,32.1623,,
CYTDK1,DLkcat,32.1623,,
UDPGPpp,DLkcat,27.7504,,
GLUSy,DLkcat,27.7475,223631.92460000003,446.67593939760775
GLYOp,DLkcat,27.3696,163745.4200000002,601.7301735828696
NMNAT,DLkcat,25.7069,44312.45000000002,2088.4613692088783
MALDDH,DLkcat,24.8636,,
R00264,DLkcat,24.0345,209656.39320000028,412.6952614197691
R00526_num1,DLkcat,20.574,,
CBPS_num1,DLkcat,20.2948,151879.1229000009,481.0488670526789
ASNN_num1,DLkcat,18.6284,145817.0996000001,459.9065554311707
GTHRDH_syn_num1,DLkcat,18.2393,64188.19400000016,1022.9526009097534
CTPS2,DLkcat,16.8498,238869.5864000003,253.94308632670666
METAT,DLkcat,16.5271,176169.05680000025,337.7299117151198
ORNTA,DLkcat,15.5563,,
SPTix,DLkcat,15.2201,91484.36240000011,598.9259646411432
TMPK,DLkcat,13.2436,,
GTHPe,DLkcat,13.075,,
P5CD_num1,DLkcat,12.9804,,
SAGH,DLkcat,12.3284,,
GF6PTA,DLkcat,11.4704,130673.83380000031,316.0038915151191
GLUNpp_num1,DLkcat,11.0604,136048.09080000006,292.67180278578354
AMID_1,DLkcat,10.8986,,
ACGS,DLkcat,10.7554,86553.18000000002,447.34855495777265
ALDD2x_num1,DLkcat,10.5414,,
PHETA1_num1,DLkcat,10.3566,80071.92900000006,465.62834773219925
GLYCLTDx,DLkcat,9.6663,,
ASPO6,DLkcat,9.5955,58238.64380000015,593.1422462141865
PYK,DLkcat,9.5078,248692.460400001,137.63215798720637
FMETDF_num1,DLkcat,9.4147,,
UAGDP,DLkcat,8.0069,148829.06430000003,193.67749260249832
G6PDA_num1,DLkcat,7.9763,,
r0074_num1,DLkcat,7.2633,,
ACODA_num1,DLkcat,7.0742,,
ALCD2x_num1,DLkcat,6.7721,,
ME2,DLkcat,6.3535,43666.6820000001,523.7998160702924
ACS_num1,DLkcat,6.0715,,
FMNAT,DLkcat,5.9169,,
MMSAD3,DLkcat,5.3919,213810.17280000023,90.78539035725422
GLU5Km_num1,DLkcat,5.1217,,
LDH_Lm,DLkcat,5.0699,139204.81,131.11357287151213
GLNS,DLkcat,5.0033,603331.9524000009,29.854013082433877
PPS,DLkcat,4.7385,,
ACYP_2,DLkcat,4.6986,,
ARGDC_num1,DLkcat,4.4004,,
GLYCTO1,DLkcat,4.2499,100140.56480000015,152.78164278937618
GALT,DLkcat,3.8644,,
UDPGD_num1,DLkcat,3.7451,,
ASPK_1_num1,DLkcat,3.6011,42947.72690000007,301.85439220532953
GLUDxi_num1,DLkcat,3.4966,284037.8826000001,44.317187146923175
HXAD,DLkcat,3.2576,,
HCO3E_num1,DLkcat,3.2083,,
CYTDK2,DLkcat,3.0897,,
ME1_num1,DLkcat,3.0106,,
FCLT,DLkcat,2.5501,45692.27280000004,200.9171231245908
ARGN,DLkcat,2.3991,,
FDH_num1,DLkcat,2.3331,,
HMBS,DLkcat,2.1224,34837.956000000035,219.31941127659704
ALAD_L,DLkcat,1.435,238098.65520000007,21.69688860972617
ASPO1,DLkcat,1.2468,58238.64380000015,77.07047601269844
ADMDC,DLkcat,1.2257,13872.554799999984,318.0755141078992
TYRTA_num1,DLkcat,1.1124,80071.92900000006,50.013032657174996
AHCYSNS,DLkcat,1.0319,,
r0082,DLkcat,0.5586,92834.36740000012,21.661805388679767
MALTly,DLkcat,0.4857,,
GALUi_num1,DLkcat,0.354,66293.52540000003,19.223596758666258
LYSDC_num1,DLkcat,0.3445,,
SSALy,DLkcat,0.3445,,
R00207,DLkcat,0.286,,
GLYCLTDym,DLkcat,0.2773,,
DAPDC,DLkcat,0.2585,97146.57160000008,9.579339596581288
PPCK,DLkcat,0.0238,,
R00818,DLkcat,,,
TRE6PH,DLkcat,,,
MAL6PG,DLkcat,,202052.0536000004,
CLB6PH_num1,DLkcat,,,
G3PD1ir,DLkcat,,,
GLYK,DLkcat,,220318.0712000003,
G3PCT,DLkcat,,30542.69199999999,
HEX7_num1,DLkcat,,,
SBTD_D2,DLkcat,,153559.15039999995,
CYSS_2_num1,DLkcat,,,
AMPTASECGe,DLkcat,,,
PTA2,DLkcat,,,
MACCOAT_num1,DLkcat,,,
MCITSm,DLkcat,,,
MMTSAO,DLkcat,,213810.17280000023,
DHFR,DLkcat,,,
THFGLUS,DLkcat,,48164.29200000009,
FTHFLi,DLkcat,,61369.75060000009,
FTHFD,DLkcat,,,
GHMT2r,DLkcat,,90977.88060000008,
METS_1,DLkcat,,,
GLGC,DLkcat,,,
G1PCTYT,DLkcat,,,
ITCY,DLkcat,,,
URIK1,DLkcat,,,
OMPDC,DLkcat,,51983.53660000001,
UPPRT_num1,DLkcat,,40526.07339999999,
UTUP,DLkcat,,,
URIK2,DLkcat,,,
URIK3,DLkcat,,,
ATNS_nh4,DLkcat,,137916.20790000024,
ANS,DLkcat,,137916.20790000024,
SHSL4r,DLkcat,,166819.82320000028,
CYSTGL,DLkcat,,,
ALKP_num1,DLkcat,,50493.14910000007,
GPDDA1pp_num1,DLkcat,,,
ALCD19_num1,DLkcat,,,
R01049,DLkcat,,209207.1390000001,
RBKr,DLkcat,,62275.860600000095,
ADPRDP,DLkcat,,,
GAPDHf,DLkcat,,143328.63560000007,
GAPDi_nadp,DLkcat,,149902.61240000027,
ATPPRT,DLkcat,,67125.03980000006,
GLUPRT,DLkcat,,206764.88240000024,
ANPRT,DLkcat,,72044.89620000005,
LLEUDr,DLkcat,,,
LEUTAi_num1,DLkcat,,,
GALKr,DLkcat,,,
DGGH,DLkcat,,98526.11040000006,
RAFGH,DLkcat,,98526.11040000006,
ACNMCT,DLkcat,,,
HXPRT,DLkcat,,,
ADSS,DLkcat,,95819.65620000006,
ALATA_D,DLkcat,,62363.93560000013,
ALAALAr,DLkcat,,,
AGMT,DLkcat,,,
R01163,DLkcat,,,
ACOAD1_num1,DLkcat,,,
PBUTT,DLkcat,,,
ACACT2r_num1,DLkcat,,,
BUTCT,DLkcat,,47743.788200000025,
INS2D_num1,DLkcat,,153400.69000000035,
MI1PP,DLkcat,,,
MI4PP,DLkcat,,,
MI3PP,DLkcat,,,
IPPS,DLkcat,,113822.02820000016,
VALTA_num1,DLkcat,,,
MTHFD,DLkcat,,61369.75060000009,
GLYCL,DLkcat,,257379.39930000016,
MTHFR3_1,DLkcat,,,
MOHMT,DLkcat,,297580.6490000001,
GUAPRT,DLkcat,,,
GMPS2,DLkcat,,115696.46860000012,
ADD_num1,DLkcat,,,
PRO1xm_reverse_num1,DLkcat,,,
P5CR_reverse_num1,DLkcat,,,
R01253,DLkcat,,,
NNAM_num1,DLkcat,,,
FACOAL160p_num1,DLkcat,,,
CYSTL,DLkcat,,169963.0216000004,
CYSTS,DLkcat,,,
4HBZFm,DLkcat,,,
GCALDDm_num1,DLkcat,,,
PPAKr,DLkcat,,86273.74540000009,
AACOAT,DLkcat,,,
BDH,DLkcat,,,
R01365,DLkcat,,48729.47320000004,
PPNDH,DLkcat,,,
HPYRRx,DLkcat,,,
ASPCT_1,DLkcat,,410679.7704000005,
OCBTm,DLkcat,,,
MTAN,DLkcat,,,
VALDHr,DLkcat,,,
LCADi,DLkcat,,,
THRD,DLkcat,,147985.75000000006,
THRS_1,DLkcat,,,
GPDDA2_num1,DLkcat,,,
DHBS,DLkcat,,,
DHBD,DLkcat,,,
PGKm,DLkcat,,42189.76960000007,
PGCD,DLkcat,,,
GLYCK,DLkcat,,,
ACPh,DLkcat,,,
R01519,DLkcat,,,
R01520_num1,DLkcat,,111101.28040000005,
RBK_Dr,DLkcat,,,
GND_num1,DLkcat,,103548.81420000012,
DDGLK,DLkcat,,,
DKII,DLkcat,,,
DATCY,DLkcat,,,
DATUP,DLkcat,,,
MPL,DLkcat,,,
MALTATr,DLkcat,,40419.92699999997,
PUNP1_num1,DLkcat,,87378.8481,
3NTD7l_num1,DLkcat,,,
TMDK1,DLkcat,,85800.66880000004,
R01582,DLkcat,,62363.93560000013,
GLK1_3,DLkcat,,,
ACOATA_num1,DLkcat,,,
R01625,DLkcat,,,
MCOATA,DLkcat,,,
XYLK,DLkcat,,,
R01641,DLkcat,,144687.10140000068,
ABTA,DLkcat,,,
R01654,DLkcat,,48164.29200000009,
MTHFC_1,DLkcat,,61369.75060000009,
DMATT,DLkcat,,,
GUAD_1,DLkcat,,,
LCGH_num1,DLkcat,,232494.79470000084,
BUTKr,DLkcat,,,
ADCS,DLkcat,,74935.19810000005,
NAMNPP,DLkcat,,,
PPOR_1,DLkcat,,,
R01731,DLkcat,,80071.92900000006,
GLYOX_num1,DLkcat,,,
GNKh,DLkcat,,,
HOXPRx,DLkcat,,,
TARTDC,DLkcat,,,
r0393_num1,DLkcat,,,
HXAND,DLkcat,,166134.5548000005,
HSK,DLkcat,,,
HSDxi,DLkcat,,,
HSDy,DLkcat,,,
HSST,DLkcat,,,
GLUKA,DLkcat,,,
HPDOAi_num1,DLkcat,,,
ACNPLYS,DLkcat,,,
DDPA,DLkcat,,,
TALA,DLkcat,,,
TKT2,DLkcat,,144687.10140000068,
PFK_3,DLkcat,,137015.03599999996,
PPCOAC,DLkcat,,715141.5157000003,
PUNP5_num1,DLkcat,,87378.8481,
DHORDfum,DLkcat,,122379.98840000005,
ORPT,DLkcat,,47043.28240000002,
PYNP2r,DLkcat,,92413.46440000006,
3NTD2pp_num1,DLkcat,,,
CYTD,DLkcat,,59415.56999999998,
DGTUP,DLkcat,,,
r0423,DLkcat,,92834.36740000012,
R01902,DLkcat,,,
SPMS,DLkcat,,62671.0586,
ARGSS,DLkcat,,179266.7752,
DGNSKm_num1,DLkcat,,50887.02140000004,
PUNP4_num1,DLkcat,,87378.8481,
HACD1i,DLkcat,,,
HBCO_nadp,DLkcat,,,
HMGCOAS,DLkcat,,,
DHORTSn,DLkcat,,93064.8922,
GRTT,DLkcat,,,
