reactions,data_type,kcat,MW,kcat_MW
PGCD,DLkcat,65.61794340645137,,
PGKm,DLkcat,65.61794340645137,42189.76960000007,5599.096617565424
AHCYSNS_reverse,DLkcat,63.44434969155376,,
ACYP_2,DLkcat,63.44434969155376,,
AMPTASECGe_reverse,DLkcat,42.37804396064197,,
FACOAL161_num1,DLkcat,41.54865141497177,,
rxn10204,DLkcat,38.044821520045744,92491.4560000001,1480.800101926869
rxn05453_reverse,DLkcat,38.044821520045744,,
rxn10213,DLkcat,38.044821520045744,,
rxn05454_reverse,DLkcat,33.727666361105435,,
rxn10215,DLkcat,33.727666361105435,,
rxn10206,DLkcat,33.727666361105435,92491.4560000001,1312.7655693946415
GAPDi_nadp,DLkcat,33.63313623866716,149902.61240000027,807.7196822702041
GPDDA1pp_reverse_num1,DLkcat,33.63313623866716,,
ACPh,DLkcat,33.63313623866716,,
GPDDA2_reverse_num1,DLkcat,33.63313623866716,,
BUTCT,DLkcat,32.53294672920224,47743.788200000025,2453.06484132585
MMSAD3_reverse,DLkcat,32.53294672920224,213810.17280000023,547.7691107554632
ACKrh,DLkcat,32.53294672920224,86273.74540000009,1357.5231686316465
ACACT3r_reverse_num3,DLkcat,32.53294672920224,,
R00526_reverse_num2,DLkcat,32.53294672920224,,
FMETDF_reverse_num2,DLkcat,32.53294672920224,,
METSOXR1_reverse,DLkcat,32.53294672920224,,
ACS_num1,DLkcat,32.53294672920224,,
ACODA_reverse_num3,DLkcat,32.53294672920224,,
HACD2i_reverse,DLkcat,32.53294672920224,,
PHETA1_reverse_num2,DLkcat,32.53294672920224,,
ME1_num2,DLkcat,32.53294672920224,,
R02727_reverse,DLkcat,32.53294672920224,,
R03050_reverse_num1,DLkcat,32.53294672920224,81512.56520000013,1436.8166176314603
ORNTA_reverse,DLkcat,32.53294672920224,,
P5CD_reverse_num2,DLkcat,32.53294672920224,,
AMAA_reverse_num8,DLkcat,31.72097443174496,,
GLUTRR_1_reverse,DLkcat,31.72097443174496,101685.89620000018,1123.0220927558844
AMAA_reverse_num12,DLkcat,31.72097443174496,,
AMAA_reverse_num11,DLkcat,31.72097443174496,,
AMAA_reverse_num10,DLkcat,31.72097443174496,,
AMAA_reverse_num9,DLkcat,31.72097443174496,,
AMAA_reverse_num7,DLkcat,31.72097443174496,,
IMACTD_reverse_num2,DLkcat,31.72097443174496,,
IMACTD_reverse_num4,DLkcat,31.72097443174496,,
AMAA_reverse_num5,DLkcat,31.72097443174496,,
AMAA_reverse_num4,DLkcat,31.72097443174496,,
AMAA_reverse_num6,DLkcat,31.72097443174496,,
AMAA_reverse_num3,DLkcat,31.72097443174496,,
AMAA_reverse_num2,DLkcat,31.72097443174496,,
ADNt2_num1,DLkcat,27.97480727198037,,
TREpts,DLkcat,27.97480727198037,,
R03174,DLkcat,27.97480727198037,1100084.8248000008,91.54685521404102
CYSS_trdrd_num1,DLkcat,27.954987294391263,65638.39479999995,1533.217784597752
BFBP_num2,DLkcat,27.954987294391263,,
HPDOAi_reverse_num3,DLkcat,27.851345954356912,47117.33480000002,2127.982108098458
PUNP3_reverse_num2,DLkcat,27.851345954356912,152265.13440000004,658.4885360051595
PNP_reverse_num2,DLkcat,27.851345954356912,152265.13440000004,658.4885360051595
PUNP5_reverse_num1,DLkcat,27.851345954356912,87378.8481,1147.4727307109565
PUNP4_reverse_num2,DLkcat,27.851345954356912,152265.13440000004,658.4885360051595
NTPTP1_reverse_num1,DLkcat,27.851345954356912,,
R08125_reverse,DLkcat,27.851345954356912,295003.11120000016,339.8772474901438
NP1_reverse_num1,DLkcat,27.851345954356912,87378.8481,1147.4727307109565
GPDDA2_reverse_num3,DLkcat,27.851345954356912,,
PYNP1_reverse,DLkcat,27.851345954356912,92413.46440000006,1084.9592760823368
DHPTDNR_reverse_num2,DLkcat,27.851345954356912,,
PNP_reverse_num1,DLkcat,27.851345954356912,87378.8481,1147.4727307109565
TMN_reverse,DLkcat,27.851345954356912,109665.08520000006,914.282291878298
MPL_reverse,DLkcat,27.851345954356912,,
ACOTA_reverse,DLkcat,27.851345954356912,81954.84479999998,1223.4157197218549
PUNP5_reverse_num2,DLkcat,27.851345954356912,152265.13440000004,658.4885360051595
rxn05450_num1,DLkcat,27.722422268257823,111493.6792,895.1244669816956
rxn10209,DLkcat,27.45062456520229,92491.4560000001,1068.4473216069616
rxn10218,DLkcat,27.45062456520229,,
rxn05455_reverse,DLkcat,27.45062456520229,,
rxn05431_reverse,DLkcat,26.8588689411731,,
rxn10217,DLkcat,26.8588689411731,,
rxn10208,DLkcat,26.8588689411731,92491.4560000001,1045.4147049887836
HACD4_reverse,DLkcat,26.78227199824152,,
HACD3_reverse,DLkcat,26.78227199824152,,
ECOAH4_reverse_num4,DLkcat,26.78227199824152,,
ECOAH3_1_reverse_num2,DLkcat,26.78227199824152,,
rxn10205,DLkcat,26.44628441463756,92491.4560000001,1029.355877938554
rxn05451_reverse,DLkcat,26.44628441463756,,
rxn10214,DLkcat,26.44628441463756,,
ASNN_num1,DLkcat,25.882404077038277,145817.0996000001,638.9967632941297
LYSDC_num2,DLkcat,25.882404077038277,,
ASNTRS_1,DLkcat,25.882404077038277,98166.29780000004,949.1715259260573
R01365,DLkcat,24.939689186770728,48729.47320000004,1842.4759221976271
PBUTT,DLkcat,24.939689186770728,,
ACOAD1_num2,DLkcat,24.939689186770728,,
ACACT2r_num2,DLkcat,24.939689186770728,,
ACACT2r_num1,DLkcat,24.939689186770728,,
LCGH_num1,DLkcat,24.267422182278185,232494.79470000084,375.7620464962657
ACOATA_num2,DLkcat,24.267422182278185,,
rxn10216,DLkcat,23.85443863212804,,
rxn10207,DLkcat,23.85443863212804,92491.4560000001,928.4747239319148
rxn05452_reverse,DLkcat,23.85443863212804,,
BTDD-RR,DLkcat,23.568801851760323,149361.35679999995,568.0698708431737
ICDHyr,DLkcat,23.305634892974734,92834.36740000012,903.7632071450828
rxn05452,DLkcat,21.82740582050177,,
R05053,DLkcat,21.50947564454721,62363.93560000013,1241.6489045372214
rxn05454,DLkcat,21.188712370709933,,
rxn09953,DLkcat,20.38986735098677,,
SPMDAT3,DLkcat,20.38986735098677,,
SPRMS_reverse,DLkcat,20.38986735098677,62671.0586,1171.2507192842018
R01641,DLkcat,19.70880509220125,144687.10140000068,490.3802595075289
PFK_3,DLkcat,19.70880509220125,137015.03599999996,517.8387745117587
TALA,DLkcat,19.70880509220125,,
ASPCT_1,DLkcat,19.622435547034137,410679.7704000005,172.00936851727334
OCBTm,DLkcat,19.622435547034137,,
PTA2,DLkcat,19.49036177035085,,
MCITSm,DLkcat,19.49036177035085,,
HEX7_num2,DLkcat,19.49036177035085,,
MACCOAT_num1,DLkcat,19.49036177035085,,
METSR_R1_reverse,DLkcat,19.49036177035085,,
PPCOAC,DLkcat,19.49036177035085,715141.5157000003,98.11387093725544
MACCOAT_num2,DLkcat,19.49036177035085,,
PTA2_reverse,DLkcat,19.49036177035085,,
R07604,DLkcat,19.38224985016056,144378.98800000013,483.284309075348
R04097,DLkcat,19.38224985016056,1100084.8248000008,63.42792654490399
R02662,DLkcat,19.38224985016056,1100084.8248000008,63.42792654490399
PRAISh,DLkcat,19.125956435155224,,
FAS1_6_c,DLkcat,18.555699667554464,,
PPNCL2,DLkcat,18.529448758305737,,
MACCOAT_num3,DLkcat,18.529448758305737,,
ILEDH2_reverse,DLkcat,18.529448758305737,,
ALKP_num1,DLkcat,18.529448758305737,50493.14910000007,1321.0904195694256
BETALDHx_reverse,DLkcat,18.529448758305737,107330.54760000014,621.5007471917583
TALA_reverse,DLkcat,18.529448758305737,,
CLB6PH_reverse_num1,DLkcat,18.529448758305737,,
DRPA_reverse,DLkcat,18.529448758305737,,
OHPBAT_reverse,DLkcat,18.529448758305737,80270.36260000011,831.0167460225297
ACAS_2ahbut_reverse,DLkcat,18.4355778928419,81512.56520000013,814.2067453206678
ACACT4r_reverse_num3,DLkcat,18.4355778928419,,
ACACT4r_reverse_num2,DLkcat,18.4355778928419,,
R03975_reverse,DLkcat,18.4355778928419,148506.56560000006,446.9033415868773
ASAD,DLkcat,18.110488530034697,75693.31220000006,861.3410724563967
THMt2_num3,DLkcat,18.08919405798793,,
BG_MADG_num1,DLkcat,18.08919405798793,,
GALKr,DLkcat,17.978064154967285,,
RIBabc,DLkcat,17.978064154967285,120545.0444,536.9032902183926
ARGSL_reverse,DLkcat,17.978064154967285,,
ABUTt2r_reverse,DLkcat,17.978064154967285,,
GALabc,DLkcat,17.978064154967285,120545.0444,536.9032902183926
ABUTt2r,DLkcat,17.978064154967285,,
PUNP1_reverse_num2,DLkcat,17.978064154967285,152265.13440000004,425.0548309231467
DHNPA2r_reverse,DLkcat,17.978064154967285,,
ABTA_reverse,DLkcat,17.978064154967285,,
DGGH_reverse,DLkcat,17.978064154967285,98526.11040000006,656.8921750297999
D5KGPA_reverse,DLkcat,17.978064154967285,,
ACACT6p_num1,DLkcat,17.880156015097118,,
ACACT4r_num3,DLkcat,17.880156015097118,,
ACACT6p_num2,DLkcat,17.880156015097118,,
PPAKr,DLkcat,17.42897517086597,86273.74540000009,727.2700440233517
R05053_reverse,DLkcat,17.27604389505076,62363.93560000013,997.2712181138004
MMTSAO,DLkcat,17.27604389505076,213810.17280000023,290.88306326920787
STACHGALACT_reverse,DLkcat,17.268758689710626,98526.11040000006,630.9751905415543
HACD7_reverse,DLkcat,17.268758689710626,,
TMPPP_reverse_num3,DLkcat,17.268758689710626,,
BTS_reverse_num2,DLkcat,17.268758689710626,,
CS_num1,DLkcat,17.229257456515796,83456.14580000007,743.2086187169311
CLB6PH_num2,DLkcat,17.229257456515796,,
GALUi_num3,DLkcat,17.229257456515796,0.0,inf
IPPS,DLkcat,17.229257456515796,113822.02820000016,544.9325391959302
MALTATr,DLkcat,17.229257456515796,40419.92699999997,1534.5234751031817
ACOATA_num1,DLkcat,17.229257456515796,,
R08218,DLkcat,17.229257456515796,97681.85620000013,634.9728522404633
R08871,DLkcat,17.229257456515796,,
ACOAD1_num3,DLkcat,17.229257456515796,,
R08386,DLkcat,17.229257456515796,,
3NTD7l_num2,DLkcat,17.229257456515796,,
LEUTAi_num2,DLkcat,17.229257456515796,,
ACACT5r_1_num2,DLkcat,17.229257456515796,,
GLYATm,DLkcat,17.229257456515796,86566.42220000012,716.5056065290033
ACACT6p_num3,DLkcat,17.229257456515796,,
MCMAT6_num2,DLkcat,17.229257456515796,,
GCALDDm_reverse_num1,DLkcat,17.229257456515796,,
PTAr,DLkcat,17.229257456515796,,
BTNC,DLkcat,17.229257456515796,,
HACD4,DLkcat,17.229257456515796,,
HACD6i,DLkcat,17.229257456515796,,
PSSA180,DLkcat,17.229257456515796,,
PHETA1_reverse_num1,DLkcat,17.229257456515796,80071.92900000006,774.6201149151385
METSR_R1,DLkcat,17.229257456515796,,
BTS_num2,DLkcat,17.229257456515796,,
THRTRS_num2,DLkcat,17.229257456515796,146773.42740000045,422.5923448283301
SERAT,DLkcat,17.229257456515796,,
CYSS_2_num2,DLkcat,17.229257456515796,65638.39479999995,944.9549616874071
HMGCOAS,DLkcat,17.229257456515796,,
BUTCT_reverse,DLkcat,17.229257456515796,47743.788200000025,1299.128728194568
ACACT7p_num1,DLkcat,17.229257456515796,,
ACACT4r_num1,DLkcat,17.229257456515796,,
KAS14_1_num1,DLkcat,17.229257456515796,,
ACACT4r_num2,DLkcat,17.229257456515796,,
23PDE9pp,DLkcat,17.229257456515796,,
ACGS,DLkcat,17.229257456515796,86553.18000000002,716.6152282730322
ACACT5r_1_num3,DLkcat,17.229257456515796,,
ECOAH3_1_reverse_num1,DLkcat,17.16390111730115,,
R01163_reverse,DLkcat,17.16390111730115,,
GPDDA1pp_reverse_num3,DLkcat,17.16390111730115,,
ALCD19_reverse_num2,DLkcat,17.16390111730115,,
ADPRDP,DLkcat,17.04218527600676,,
DXPS,DLkcat,16.896324493072004,139116.74880000058,437.2354062306764
HACD3,DLkcat,16.268773091596593,,
ACACT3r_num2,DLkcat,16.268773091596593,,
R01731_reverse,DLkcat,16.23056743078455,80071.92900000006,729.7194345202341
rxn05366,DLkcat,16.068123685607492,108711.97360000006,532.0963584105785
rxn05364_num2,DLkcat,16.068123685607492,,
rxn05363_num2,DLkcat,16.068123685607492,,
rxn05364_num1,DLkcat,16.068123685607492,105127.54639999996,550.2387076370214
FLVR_1_num1,DLkcat,16.036666944354295,56639.09440000008,1019.2959758847304
rxn10048,DLkcat,15.943751353263242,34084.48050000004,1683.977693946299
CYTB_B3,DLkcat,15.943751353263242,,
PSERT_reverse,DLkcat,15.943751353263242,80270.36260000011,715.0522685161957
PGCD_reverse,DLkcat,15.88508646207254,,
R01519,DLkcat,15.88508646207254,,
GPDDA2_reverse_num2,DLkcat,15.88508646207254,,
HADPCOADH3_reverse,DLkcat,15.84344910889127,,
PUNP3_reverse_num1,DLkcat,15.84344910889127,87378.8481,652.748554509825
TYRTA_reverse_num1,DLkcat,15.432432423943144,80071.92900000006,693.8356227960396
G6PDA_num1,DLkcat,15.432432423943144,,
PGL_reverse,DLkcat,15.432432423943144,,
ALCD2x_num2,DLkcat,15.432432423943144,,
ALCD2x_reverse_num4,DLkcat,15.324100593357702,,
ALCD2x_reverse_num3,DLkcat,15.324100593357702,69512.09040000002,793.6283000358125
MALt2r_reverse_num1,DLkcat,15.322999804119236,,
