reactions,data_type,kcat,MW,kcat_MW
G1PTT_reverse,DLkcat,21.10411704027864,,
GLYCK2,DLkcat,21.10411704027864,,
ME2,DLkcat,20.86625182078497,,
MDH2,DLkcat,20.86625182078497,,
ILEt2rpp_reverse,DLkcat,20.86625182078497,,
MDH,DLkcat,20.86625182078497,139630.61200000005,537.9802142156756
ME1_num1,DLkcat,20.86625182078497,,
MDH3,DLkcat,20.86625182078497,139630.61200000005,537.9802142156756
GLYC3Pabcpp,DLkcat,20.1865337037174,,
GLYOX,DLkcat,20.1865337037174,,
GTHOr,DLkcat,20.1865337037174,,
GTHRDabc2pp,DLkcat,20.1865337037174,,
GLUNATF_reverse,DLkcat,20.1865337037174,79427.97160000014,914.93613483367
FDMO,DLkcat,19.77156823391627,,
PPCK,DLkcat,17.432177641017375,,
AACPS5_num3,DLkcat,17.432177641017375,,
ACOTA_reverse,DLkcat,17.432177641017375,82411.52100000004,761.493523553127
CS_num1,DLkcat,17.432177641017375,85133.2134000001,737.1487225884802
TRPS1,DLkcat,17.432177641017375,147740.78900000005,424.7698955206103
2METS,DLkcat,17.432177641017375,85189.59560000009,736.6608453258403
PGP160abcpp_num2,DLkcat,16.28280282780386,,
ILEt2rpp,DLkcat,16.28280282780386,,
ASAD_reverse,DLkcat,16.28280282780386,72422.99160000002,809.3850983655565
UAGAAT_num5,DLkcat,16.28280282780386,,
ADSL1r_reverse,DLkcat,16.28280282780386,,
ACCOAC_num2,DLkcat,16.28280282780386,,
GLUTRS_num1,DLkcat,16.28280282780386,,
DDPA,DLkcat,15.836375632293851,,
ACONTb,DLkcat,15.347796669948872,101724.64050000074,543.153239374835
MCITD_reverse_num1,DLkcat,15.347796669948872,55395.45140000014,997.4116396823114
GRTT_num1,DLkcat,15.107706219799388,,
MOCOS_num1,DLkcat,14.848243560681048,,
PSCVT,DLkcat,14.848243560681048,45527.32590000005,1174.100955014617
PHETA1_num1,DLkcat,14.848243560681048,,
VPAMT,DLkcat,14.848243560681048,,
P5CD,DLkcat,14.81821033306089,,
P5CR,DLkcat,14.81821033306089,,
UAMAS,DLkcat,14.348736799998129,,
ASPCT,DLkcat,14.074875740008128,406723.1544000005,124.5799559623724
OCBT,DLkcat,14.074875740008128,,
ICDHyr,DLkcat,13.642932450478089,80080.2833000005,613.3164718926613
G3PAT120_num4,DLkcat,13.635243631888848,,
ACMUMptspp_num2,DLkcat,13.635243631888848,,
3OAR60_reverse,DLkcat,13.635243631888848,,
FRUpts2pp,DLkcat,13.635243631888848,,
CHTBSptspp,DLkcat,13.635243631888848,,
THRTRS_num1,DLkcat,13.635243631888848,155240.05940000064,316.1998086352165
ASCBptspp,DLkcat,13.635243631888848,,
PA120abcpp_num2,DLkcat,13.635243631888848,,
ARBTptspp,DLkcat,13.635243631888848,,
ACMUMptspp_num1,DLkcat,13.635243631888848,,
SERTRS_num1,DLkcat,13.635243631888848,92942.14300000011,528.144450841851
UAGCVT_num1,DLkcat,13.635243631888848,,
LEUt2rpp_num2,DLkcat,13.635243631888848,,
SPMDabcpp,DLkcat,13.635243631888848,,
