reactions,data_type,kcat,MW,kcat_MW
R1441,DLkcat,2796.7792,,
R46,DLkcat,2557.101,,
R417,DLkcat,1447.9259,,
R524_num1,DLkcat,1215.1074,,
R108,DLkcat,1148.8324,,
R356,DLkcat,935.3706,,
R945_num1,DLkcat,861.2561,,
R959_num1,DLkcat,758.3796,276780.3373000015,9864.01919526812
R109,DLkcat,662.2902,,
R498_num1,DLkcat,636.2058,,
R711_num1,DLkcat,602.3113,,
R236,DLkcat,591.413,,
R967,DLkcat,479.7558,,
R77,DLkcat,457.2809,,
R1537,DLkcat,393.1475,,
R1105_num1,DLkcat,365.856,,
R651_num1,DLkcat,298.7185,,
R1010_num1,DLkcat,294.772,,
R1015,DLkcat,294.772,,
R140,DLkcat,294.772,,
R809_num1,DLkcat,294.772,,
R916_num1,DLkcat,294.772,,
R765_num1,DLkcat,294.772,,
R1527_num1,DLkcat,294.772,,
R748,DLkcat,277.0864,,
R27_num1,DLkcat,249.6405,,
R472_num1,DLkcat,245.0052,,
R962,DLkcat,234.9663,,
R355,DLkcat,234.7144,,
R788_num1,DLkcat,231.6638,,
R359,DLkcat,231.6638,,
R1657_num1,DLkcat,212.7061,,
R656_num1,DLkcat,210.327,,
R103,DLkcat,205.4869,,
R1328,DLkcat,202.5015,50237.49770000002,14511.180559854989
R318,DLkcat,200.6201,,
R1177,DLkcat,196.0343,,
R763,DLkcat,193.1842,,
R887_num1,DLkcat,191.1589,,
R714,DLkcat,167.7853,,
R1080,DLkcat,162.8105,,
R325_num1,DLkcat,159.4815,,
R694_num1,DLkcat,157.7947,,
R544_num1,DLkcat,155.9488,,
R1536_num1,DLkcat,155.9218,,
R1179_num1,DLkcat,150.3089,,
R13,DLkcat,150.1603,,
R1365_num1,DLkcat,142.6857,,
R940_num1,DLkcat,134.9487,,
R865,DLkcat,134.0958,,
R380_num1,DLkcat,131.7078,,
R238_num1,DLkcat,131.3119,,
R876,DLkcat,130.0784,,
R830_num1,DLkcat,124.9041,,
R272,DLkcat,123.4877,,
R122,DLkcat,120.6306,82982.13830000011,5233.2968141892225
R500_num1,DLkcat,120.2496,40044.49539999999,10810.43863022432
R519_num1,DLkcat,118.9725,,
R1263,DLkcat,116.9685,,
R1591_num1,DLkcat,115.9107,,
R685,DLkcat,111.6284,,
R820_num1,DLkcat,110.2702,,
R212,DLkcat,110.2102,,
R381_num1,DLkcat,108.7003,,
R518_num1,DLkcat,105.5605,,
R961_num1,DLkcat,102.7883,,
R639_num1,DLkcat,102.638,,
R213,DLkcat,102.638,,
R28_num1,DLkcat,102.0464,53445.10480000009,6873.726627999791
R880,DLkcat,101.6372,,
R208,DLkcat,96.9366,,
R912,DLkcat,95.2979,,
R648_num1,DLkcat,93.238,,
R1017,DLkcat,92.6336,,
R812_num1,DLkcat,92.1915,,
R1018,DLkcat,89.8268,,
R604_num1,DLkcat,88.8699,,
R1329_num1,DLkcat,88.535,,
R771_num1,DLkcat,87.0824,,
R751,DLkcat,86.778,,
R1569,DLkcat,85.8828,,
R1592_num1,DLkcat,84.5269,,
R831_num1,DLkcat,84.0979,,
R96,DLkcat,84.0898,,
R91,DLkcat,84.0898,,
R797_num1,DLkcat,83.5733,,
R124,DLkcat,82.8547,,
R953,DLkcat,81.7431,,
R586_num1,DLkcat,80.2858,,
R595_num1,DLkcat,80.2858,,
R577_num1,DLkcat,80.2858,,
R612_num1,DLkcat,80.2858,,
R629,DLkcat,78.609,,
R404_num1,DLkcat,77.5578,92634.99280000004,3014.0670556623595
R361,DLkcat,76.0672,,
R1210,DLkcat,75.525,,
R1093,DLkcat,75.4726,,
R1100,DLkcat,75.4726,,
R15_num1,DLkcat,74.2235,,
R700_num1,DLkcat,73.2947,,
R811_num1,DLkcat,73.2947,,
R769_num1,DLkcat,73.2947,,
R1129,DLkcat,72.5252,,
R1509,DLkcat,72.0611,,
R917_num1,DLkcat,71.2073,,
R1343_num1,DLkcat,71.0733,29628.244300000035,8635.809716203794
R728,DLkcat,70.8881,36014.36019999998,7085.983440572133
R1559,DLkcat,70.5125,,
R653_num1,DLkcat,70.1671,,
R1403,DLkcat,67.6089,,
R14,DLkcat,67.3835,,
R278,DLkcat,66.8074,,
R328,DLkcat,66.5509,,
R1446,DLkcat,64.4881,,
R699_num1,DLkcat,63.1306,,
R1650,DLkcat,62.9603,,
R1615,DLkcat,61.8542,,
R614,DLkcat,60.9586,,
R1188,DLkcat,59.5204,,
R48,DLkcat,58.1566,,
R558_num1,DLkcat,57.7473,,
R360_num1,DLkcat,57.3202,,
R1503,DLkcat,57.1929,,
R487_num1,DLkcat,57.1034,,
R409,DLkcat,56.4958,,
R338_num1,DLkcat,56.1985,,
R339,DLkcat,56.1985,,
R517,DLkcat,56.0038,,
R290,DLkcat,55.8237,,
R834,DLkcat,55.5679,,
R1532_num1,DLkcat,55.5308,,
R943,DLkcat,55.5308,,
R551_num1,DLkcat,55.5308,,
R1519_num1,DLkcat,55.5308,,
R322,DLkcat,55.5308,,
R710,DLkcat,55.5308,,
R1152_num1,DLkcat,55.5308,,
R1607,DLkcat,55.1477,,
R1437_num1,DLkcat,54.3511,29628.244300000035,6603.9674176711105
R1218,DLkcat,54.1897,,
R1221,DLkcat,54.1897,,
R111,DLkcat,53.7238,,
R1435,DLkcat,53.4631,,
R783,DLkcat,53.3836,,
R1528_num1,DLkcat,51.9816,,
R801_num1,DLkcat,51.7354,,
R1242,DLkcat,50.3438,,
R808_num1,DLkcat,50.0846,,
R502_num1,DLkcat,49.8222,,
R1208,DLkcat,49.8084,,
R1337,DLkcat,49.5226,,
R719,DLkcat,49.315,,
R1243_num1,DLkcat,48.6383,,
R510_num1,DLkcat,48.3691,,
R1508_num1,DLkcat,48.1144,,
R1232,DLkcat,47.8805,94111.78640000008,1831.543174277689
R704_num1,DLkcat,47.6437,,
R454_num1,DLkcat,47.4866,,
R452,DLkcat,47.2297,,
R768_num1,DLkcat,46.8519,,
R1525_num1,DLkcat,46.8519,,
R1310,DLkcat,45.8386,,
R1307,DLkcat,45.8386,,
R548_num1,DLkcat,45.7621,,
R1438,DLkcat,45.3179,,
R1106,DLkcat,45.2432,,
R1019,DLkcat,44.7241,,
R1568,DLkcat,43.57,,
R824_num1,DLkcat,43.5668,,
R615,DLkcat,43.1469,,
R1402,DLkcat,42.8885,,
R288_num1,DLkcat,42.0757,,
R41_num1,DLkcat,42.0013,,
R34_num1,DLkcat,42.0013,,
R1340,DLkcat,41.881,,
R1611,DLkcat,40.9733,,
R1401,DLkcat,40.2347,,
R21_num1,DLkcat,40.1913,295191.07200000016,490.1526290063404
R230_num1,DLkcat,39.9766,,
R1224,DLkcat,39.8699,,
R47,DLkcat,39.7826,,
R480_num1,DLkcat,39.7826,40044.49539999999,3576.455604432465
R1505,DLkcat,39.5748,,
R1220_num1,DLkcat,39.3059,,
R327,DLkcat,39.3017,,
R350_num1,DLkcat,38.6583,,
R818_num1,DLkcat,38.4479,,
R680_num1,DLkcat,38.2747,,
R1308,DLkcat,38.0169,,
R1314,DLkcat,38.0169,,
R481,DLkcat,37.9976,,
R802,DLkcat,37.8993,,
R1359,DLkcat,37.391,,
R1109,DLkcat,37.3883,,
R1157_num1,DLkcat,37.0603,,
R449,DLkcat,36.8722,,
R36_num1,DLkcat,36.8157,410983.1840000028,322.4864791548237
R269,DLkcat,36.5023,,
R689,DLkcat,36.2487,,
R937,DLkcat,36.1479,,
R1125_num1,DLkcat,36.0168,,
R528_num1,DLkcat,35.8123,,
R31_num1,DLkcat,35.7867,,
R787,DLkcat,35.7119,,
R789_num1,DLkcat,35.7119,,
R790,DLkcat,35.7119,,
R378_num1,DLkcat,35.7119,,
R377,DLkcat,35.7119,,
R177_num1,DLkcat,35.4668,,
R180_num1,DLkcat,35.4668,,
R1445,DLkcat,35.3667,,
R253,DLkcat,35.2852,295191.07200000016,430.32033163929816
R1063,DLkcat,35.214,,
R173,DLkcat,35.1608,,
R174_num1,DLkcat,35.1608,,
R1156_num1,DLkcat,35.1372,,
R860_num1,DLkcat,34.808,,
R135,DLkcat,34.4468,,
R1358,DLkcat,34.2628,,
R227,DLkcat,34.0122,,
R1649,DLkcat,33.7822,,
R1456,DLkcat,33.7822,,
R1517,DLkcat,33.5865,,
R1606,DLkcat,33.5584,,
R354,DLkcat,33.3058,,
