reactions,data_type,kcat,MW,kcat_MW
R1561_reverse_num3,DLkcat,147.75066264542613,,
R2010_num2,DLkcat,103.98435019585912,,
R104,DLkcat,89.33699090743484,70471.74339999996,4563.718048541504
R101_reverse_num1,DLkcat,87.3327435439052,,
R2547_num1,DLkcat,80.30751305726687,,
R35_num1,DLkcat,77.83020056356936,,
R2385_reverse,DLkcat,75.02662950297403,,
R1731_num1,DLkcat,68.17174864386962,,
R813_num1,DLkcat,64.67187267093973,,
R1732_num1,DLkcat,62.203294274830206,,
R1733_num1,DLkcat,60.4094474893984,,
R1494_num1,DLkcat,60.211366024346354,53445.10480000009,4055.767473911783
R1453,DLkcat,59.02859848928553,,
R106,DLkcat,58.814534720857374,68776.71859999995,3078.5464806267555
R1170,DLkcat,57.91302582340893,,
R104_reverse,DLkcat,57.47091848584291,70471.74339999996,2935.8619010557154
R812_num1,DLkcat,54.933144739168455,,
R2100_num1,DLkcat,52.19096720242603,,
R282_num1,DLkcat,49.62867841355977,,
R360_num4,DLkcat,46.41058328026806,0.0,inf
R994,DLkcat,45.05137851934599,,
R804_num5,DLkcat,44.66872773395303,,
R1001,DLkcat,43.62953635536815,,
R1029_num2,DLkcat,42.24513720084314,,
R1724_reverse,DLkcat,42.13832092023615,156449.04680000048,969.6317006442104
R1720_num1,DLkcat,40.731410345704965,53445.10480000009,2743.6203520090703
R1531_num2,DLkcat,40.72608490084038,,
R198_num1,DLkcat,40.46950295192951,53445.10480000009,2725.978575065793
R413_reverse,DLkcat,39.87070097083826,92634.99280000004,1549.4633200318845
R808_num2,DLkcat,39.786400265540856,,
R10_num6,DLkcat,39.612530427098925,,
R1938,DLkcat,39.491371410173706,,
R1580,DLkcat,39.42702459436856,,
R2105,DLkcat,39.00452532255367,,
R1919_num2,DLkcat,38.90657411530138,,
R990,DLkcat,37.58568051958304,,
R2383_reverse_num1,DLkcat,37.40139190550831,,
R118,DLkcat,36.88020711566089,,
R1939,DLkcat,36.7708906043511,,
R1985_num2,DLkcat,36.66302697193862,,
R1920_num2,DLkcat,36.600105813315714,,
R799,DLkcat,36.5809072021972,,
R91,DLkcat,35.77275975157973,,
R90,DLkcat,35.495100183150115,,
R736_reverse_num3,DLkcat,35.1680040644552,163855.42760000023,772.6617084732964
R28_num1,DLkcat,35.09338626965939,53445.10480000009,2363.8496180996094
R92,DLkcat,34.91429205481953,,
R321_reverse_num4,DLkcat,34.64067007650065,,
R10_num10,DLkcat,34.366878635411375,,
R364_num2,DLkcat,34.28868711712066,,
R1032,DLkcat,34.17576304432558,,
R126,DLkcat,33.733863209593096,,
R1988_num3,DLkcat,33.68838163278882,,
R839_num2,DLkcat,33.571590199538186,,
R1775_num1,DLkcat,33.436158038995,,
R1988_num2,DLkcat,33.33802318710905,33645.466700000004,3567.10413749715
R1581_num1,DLkcat,32.97158511368997,,
R1246_reverse,DLkcat,32.91390584355819,,
R80_num1,DLkcat,32.8265063424554,,
R1582_num1,DLkcat,32.76511581368298,,
R888_num2,DLkcat,32.26463074958158,,
R247_reverse_num1,DLkcat,32.1919553275516,,
R1522_num4,DLkcat,32.03317548453091,,
R26_reverse_num1,DLkcat,31.97970450051903,,
R743_reverse_num2,DLkcat,31.95289354860789,,
R390_num2,DLkcat,31.92135381543837,,
R840_num2,DLkcat,31.185401508612884,125998.66350000056,891.0209228608674
R46,DLkcat,30.946173354516773,,
R887_num2,DLkcat,30.936949120729825,,
R2563_reverse_num1,DLkcat,30.896938257526955,,
R1023_num3,DLkcat,30.697632750777306,,
R1911_reverse,DLkcat,30.67456126954669,,
R885,DLkcat,30.249375148317625,,
R1779_num1,DLkcat,30.17327207571801,,
R420_reverse,DLkcat,30.16057533604139,,
R10_num3,DLkcat,29.710750947606204,,
R384_num2,DLkcat,29.641483864903527,,
R1447,DLkcat,29.556011573161975,,
R1938_reverse,DLkcat,29.135965856066612,,
R321_reverse_num5,DLkcat,29.078950672074427,,
R868_reverse,DLkcat,29.07883871323484,,
R1910_reverse,DLkcat,29.07883871323484,,
R386_num7,DLkcat,29.062661926707637,,
R1638_num3,DLkcat,29.04073583902788,,
R1707_num1,DLkcat,28.950765878365395,53445.10480000009,1950.0898642098884
R1571_num8,DLkcat,28.938194379051343,,
R1551_num2,DLkcat,28.922301757469068,,
R416_num1,DLkcat,28.66947806714957,,
R1990_num3,DLkcat,28.61860789695997,,
R743_num2,DLkcat,28.330005077582268,,
R1361_num2,DLkcat,28.09489017218788,60831.68639999994,1662.646732408794
R349_reverse_num3,DLkcat,27.97268124566783,,
R1510_num3,DLkcat,27.934215523226392,,
R44,DLkcat,27.887410913248637,,
R1525_num3,DLkcat,27.76330423121324,,
R852_reverse,DLkcat,27.53793541093622,,
R728_reverse,DLkcat,27.435713453833444,36014.36019999998,2742.4773863899004
R261_num1,DLkcat,27.376574130164183,,
R247_num4,DLkcat,27.3543482620348,,
R71,DLkcat,27.109492466477672,,
R1561_num3,DLkcat,27.05985407882216,,
R349_num1,DLkcat,26.90582065819701,,
R1810_reverse,DLkcat,26.77999635943448,,
R891,DLkcat,26.7086803125098,,
R247_reverse_num3,DLkcat,26.592167807111668,,
R902_num6,DLkcat,26.575335241067226,,
R1530_num2,DLkcat,26.525460713162577,,
R332_reverse_num1,DLkcat,26.291962242950937,,
R1029_num1,DLkcat,26.07994640032392,,
R2040,DLkcat,25.997482209706828,,
R711_num4,DLkcat,25.91993815810752,,
R1023_num2,DLkcat,25.919438114530923,,
R1192_reverse_num4,DLkcat,25.890583926064547,,
R10_reverse_num8,DLkcat,25.85210527919833,,
R80_reverse_num2,DLkcat,25.79220692214625,163855.42760000023,566.669937515859
R1706_num18,DLkcat,25.449889761492376,,
R249_reverse,DLkcat,25.17090255438618,106412.91720000008,851.5436995818978
R220_num1,DLkcat,24.95072639291024,92634.99280000004,969.6402223337444
R587_reverse_num2,DLkcat,24.878865383196096,,
R2031_reverse_num1,DLkcat,24.85756440799035,128701.6237000005,695.3077148222872
R415_reverse_num1,DLkcat,24.85637564896517,,
R2022_num1,DLkcat,24.79778732104633,,
R1508_num2,DLkcat,24.752823379989568,,
R2071_reverse,DLkcat,24.734985742102623,,
R1243_num2,DLkcat,24.667492303602582,,
R1181,DLkcat,24.57964053809653,,
R1706_num34,DLkcat,24.518549304991776,,
R2075_reverse_num1,DLkcat,24.467652120299835,,
R430,DLkcat,24.456711109353005,,
R1353_num2,DLkcat,24.39376973895684,,
R1660_num3,DLkcat,24.35514298163721,,
R2296_num3,DLkcat,24.33786535300054,,
R1525_num4,DLkcat,24.24493777740926,,
R2379_num2,DLkcat,24.13999460964869,,
R385_num2,DLkcat,24.102920585612683,,
R788_num1,DLkcat,23.95280825780909,,
R711_num3,DLkcat,23.836022399370066,,
R89_num1,DLkcat,23.834096350606668,,
R708_num5,DLkcat,23.8228278890727,,
R62_reverse_num1,DLkcat,23.810186530356408,,
R250,DLkcat,23.743068578706065,184536.57500000013,463.1875653015766
R992_num2,DLkcat,23.743068578706065,,
R745_num3,DLkcat,23.61149896339099,,
R1956_num2,DLkcat,23.601928047053622,,
R1041_num1,DLkcat,23.469016294087083,,
R1905_reverse_num2,DLkcat,23.28210115790151,,
R663_num1,DLkcat,23.19433323901371,,
R679_num2,DLkcat,23.173963721072024,,
R711_num2,DLkcat,23.09487927058084,,
R786_num1,DLkcat,22.95554099648446,,
R276_num6,DLkcat,22.9518912174809,,
R2071,DLkcat,22.87976625890969,,
R2029_reverse,DLkcat,22.77615609700819,,
R2157,DLkcat,22.66653649742125,,
R274_reverse,DLkcat,22.663588446397057,,
R13,DLkcat,22.64177217670321,,
R323_reverse_num2,DLkcat,22.61163973521841,0.0,inf
R916_reverse_num2,DLkcat,22.59124921913966,,
R1526_num2,DLkcat,22.55430839679457,,
R1529_num2,DLkcat,22.525016815130677,,
R365_num1,DLkcat,22.45365722213987,,
R75_num1,DLkcat,22.41784296526672,,
R941_num3,DLkcat,22.239352632888608,,
R412,DLkcat,22.23924178469385,91901.5822000001,871.1631346092074
R386_num8,DLkcat,22.23564853384443,,
R660_num1,DLkcat,22.15305941196703,,
R689_reverse,DLkcat,22.15305941196703,,
R438,DLkcat,22.1343229101497,163855.42760000023,486.3040769760794
R577_reverse_num2,DLkcat,22.134318862715684,,
R323_num3,DLkcat,22.07364201389071,,
R211_num4,DLkcat,22.050080684000378,,
R21_num1,DLkcat,21.901889393324204,295191.07200000016,267.10429038980925
R2076_num1,DLkcat,21.8802024532676,,
R247_num3,DLkcat,21.81681659987591,,
R672_num1,DLkcat,21.80012723428314,,
R196_num3,DLkcat,21.791080935358405,,
R1510_num2,DLkcat,21.766179369939994,,
R51,DLkcat,21.71328218176824,44477.71300000005,1757.4603229794118
R1174_reverse_num1,DLkcat,21.70060185202813,,
R1002,DLkcat,21.68162324099149,,
R417,DLkcat,21.53692411355548,,
R640_reverse_num2,DLkcat,21.532710350305702,,
R407_reverse,DLkcat,21.524964380981288,,
R674_num2,DLkcat,21.37908642549095,,
R251_reverse_num1,DLkcat,21.33210404704498,,
R669_num2,DLkcat,21.331431860784672,,
R578_reverse_num2,DLkcat,21.331431860784672,,
R694_num4,DLkcat,21.331431860784672,,
R1098_num1,DLkcat,21.292902089634577,,
R20_num1,DLkcat,21.29061534573276,295191.07200000016,259.6495033719647
R697_num4,DLkcat,21.26690786839666,,
R762_num4,DLkcat,21.216443828034627,,
R653_num5,DLkcat,21.15464848900079,,
R2070,DLkcat,21.0748295034776,,
R14,DLkcat,20.967791771207036,,
R1653_num2,DLkcat,20.934086812265228,,
R934,DLkcat,20.793290827690523,,
R1460_num4,DLkcat,20.72945103488185,,
R1747_num10,DLkcat,20.660635181400103,,
R390_num1,DLkcat,20.59174246310712,,
R688_reverse,DLkcat,20.51832949094109,,
R698_reverse_num1,DLkcat,20.485877041426463,,
R745_num2,DLkcat,20.46274273642121,,
R701_num1,DLkcat,20.434125194822546,,
R1673,DLkcat,20.4325387231574,,
R119_num1,DLkcat,20.391976848467458,,
R1197_num2,DLkcat,20.35287868243545,,
R665_num2,DLkcat,20.329752238541964,,
R898_reverse_num1,DLkcat,20.27190885649039,,
R1271,DLkcat,20.212659028371323,,
R313,DLkcat,20.194728129475696,,
R1706_num27,DLkcat,20.10673306855225,,
R1460_num5,DLkcat,20.10326980099366,,
