reactions,data_type,kcat,MW,kcat_MW
IPPMIb,DLkcat,396066.896,72368.49760000009,19702506.9316901
ACHBS_num1,DLkcat,372541.5801,71545.54940000009,18745396.458720863
AOXSr2,DLkcat,372541.5801,83187.54840000013,16122000.397357523
FRULYSt2pp,DLkcat,113054.0789,,
G3PAT120,DLkcat,77030.5365,100019.78140000036,2772550.864623256
CHLt2pp_num1,DLkcat,77030.5365,,
PLIPA2E160pp,DLkcat,17758.2921,66325.42739999999,963881.4865744839
PPNCL2,DLkcat,8310.6097,86875.28860000001,344380.95576007094
PRFGS,DLkcat,8310.6097,141401.06280000033,211583.94659534292
G3PD6,DLkcat,5581.1557,148421.8662000002,135371.9706833869
AOBUTDs,DLkcat,5581.1557,0.0,inf
ICYSDS,DLkcat,5365.4251,90177.98860000004,214193.40417623814
CHTBSptspp,DLkcat,4448.3859,,
GLYAT,DLkcat,3396.088,86233.10940000019,141777.52472416323
2DDARAA_reverse_num1,DLkcat,3126.5841,,
PSERT,DLkcat,2910.8601,79565.68480000009,131703.7160723336
ASCBptspp,DLkcat,1988.5373,,
DNTPPA_num1,DLkcat,1781.1927,,
ALCD2x_num2,DLkcat,1762.566,,
ASPCT_num1,DLkcat,1589.1472,618568.5624000002,9248.65935281809
ARGSS,DLkcat,1489.5195,199591.3268000002,26866.248578893632
FA120ACPHi,DLkcat,1458.8321,,
ACOLIPAabctex,DLkcat,1410.0874,408235.6288000008,12434.766301318945
BWCOGDS1,DLkcat,1283.769,21642.621200000005,213540.1418013082
NMNDA,DLkcat,1186.9467,35163.033199999976,121519.89550207526
TGBPA_reverse_num1,DLkcat,1068.0464,172365.1440000001,22307.103111287965
ACPPAT140,DLkcat,1068.0464,85067.37450000006,45199.07970123137
DHAPT,DLkcat,990.1739,,
RHAT1,DLkcat,833.0053,,
PSD180,DLkcat,825.4142,35933.97080000004,82693.09107358646
K2L4Aabctex,DLkcat,783.5627,408235.6288000008,6909.797972048033
GLCabcpp,DLkcat,607.9257,127676.46749999996,17141.236461605586
ALDD2y_num3,DLkcat,588.3956,225222.7652000001,9405.017996821925
NADH10_num3,DLkcat,567.4651,81501.30399999997,25065.542018812368
MCOATA,DLkcat,559.4043,,
ARBTptspp_num1,DLkcat,524.9727,,
ETHSO3abcpp,DLkcat,497.4062,,
NNAM,DLkcat,473.4013,,
PYK2,DLkcat,451.7255,205426.35480000047,7916.27637838023
DHBSZ3FEabcpp,DLkcat,451.7255,132847.09380000006,12241.229773895131
SHK3Dr,DLkcat,450.6271,29413.27850000001,55153.918322977814
DSBAO2,DLkcat,449.1425,,
AIRC2,DLkcat,442.5254,78921.27859999996,20185.829072465138
ARGt3pp,DLkcat,416.5591,23175.4283,64707.0138505272
GLCP2_num1,DLkcat,414.2609,181042.53720000092,8237.507400553555
PE161abcpp,DLkcat,411.6864,128919.95840000037,11496.055834904735
G3PSabcpp,DLkcat,366.6421,152734.1834000001,8641.887039414381
HPYRRx_num1,DLkcat,361.8587,,
LYSabcpp,DLkcat,356.5986,108162.42719999998,11868.769897574934
PPPNDO,DLkcat,330.9361,126993.93890000012,9381.31355180762
LPLIPAL2ATE181,DLkcat,327.9806,,
AMMQLT8,DLkcat,327.0257,28072.88920000001,41936.99165100539
PFL_num1,DLkcat,317.5315,,
FRD3,DLkcat,317.5315,121215.30150000012,9430.438120058621
UGLT,DLkcat,312.5032,79290.41580000015,14188.493131852108
HISabcpp,DLkcat,310.8612,108654.1401,10299.656496936374
O16A4Lpp,DLkcat,308.1723,,
RNTR2c2_num1,DLkcat,305.5352,224976.29490000068,4889.078293732699
ASNS1,DLkcat,304.0402,125316.56320000046,8734.23825271324
PNSPA,DLkcat,303.9653,26482.24899999997,41321.078130486625
ADNt2pp_copy1_num1,DLkcat,302.3451,,
SOTA,DLkcat,300.7927,,
ACMAMUT,DLkcat,294.3155,,
IPPS,DLkcat,290.8022,114594.4826000001,9135.587475482864
MOBDabcpp_num1,DLkcat,288.255,,
GTHOr,DLkcat,281.2036,97543.89440000008,10378.229885396078
DHNAOT4,DLkcat,275.4998,,
G3PAT140,DLkcat,275.4998,100019.78140000036,9916.031270190284
5DGLCNt2rpp_reverse,DLkcat,257.8824,,
NADPHXD,DLkcat,257.068,,
SELabcpp_num1,DLkcat,257.068,141501.13800000006,6540.19333752637
FDH5pp_num1,DLkcat,256.6802,170568.63320000068,5417.459838096401
G3PAT160,DLkcat,253.747,100019.78140000036,9133.085347854969
FE3DHBZStonex_num1,DLkcat,241.3498,,
ALCD19_num1,DLkcat,236.1095,,
O16A4COLIPAabctex,DLkcat,224.2645,408235.6288000008,1977.6622691488078
OHPBAT,DLkcat,222.5692,79565.68480000009,10070.284972900768
TUNGSabcpp,DLkcat,212.3867,,
GHMT2r,DLkcat,201.1247,90632.10960000004,7988.878590551969
FECRMtonex,DLkcat,197.3173,176182.99600000036,4031.843572463704
DHCINDO,DLkcat,193.4656,136782.54800000013,5091.8495830330585
OMPDC,DLkcat,191.2055,52699.904199999946,13061.500024510495
ACMUMptspp,DLkcat,185.3798,,
LPLIPAL2A181,DLkcat,181.2526,,
FDH4pp_num1,DLkcat,179.5767,170254.19620000088,3797.1229751105348
DHNPA2r_reverse,DLkcat,179.5767,108954.8935999999,5933.428950638713
ALDD2y_num2,DLkcat,179.5767,84192.99660000009,7678.502323315563
NADH10_num4,DLkcat,179.5767,41690.61919999995,15506.51279365025
TMAOR1pp_num1,DLkcat,177.0219,138060.87490000034,4615.92641986074
PLIPA2G140pp,DLkcat,175.1943,66325.42739999999,9509.165711007543
PG180abcpp,DLkcat,174.1055,128919.95840000037,4861.774761478656
TDSR1,DLkcat,172.7387,,
PSSA161,DLkcat,172.5725,52801.13629999995,11766.05360290325
TSULabcpp_num1,DLkcat,169.3232,,
CGLYabcpp,DLkcat,167.7963,203501.5647000001,2968.36381032504
ALLTNt2rpp_reverse,DLkcat,162.9636,,
XAND,DLkcat,162.5276,129797.91170000043,4507.771753310866
ABTA_num1,DLkcat,159.5296,183096.4256,3136.6344707059093
FRUK,DLkcat,155.3456,67510.58200000008,8283.800012270656
LPLIPAL2A161,DLkcat,153.618,,
TARTRt7pp_reverse,DLkcat,153.1321,,
URIK1,DLkcat,150.7241,97411.37440000004,5570.260796977316
URIK2,DLkcat,150.7241,97411.37440000004,5570.260796977316
LIPAHTex,DLkcat,149.5508,43538.58699999999,12365.648889799757
ACCOAC,DLkcat,147.2453,151256.96039999995,3504.5202455357557
OPMEACPS,DLkcat,147.2453,85225.74560000013,6219.75291935726
GHMT2r_reverse,DLkcat,146.4919,90632.10960000004,5818.807951481245
