reactions,data_type,kcat,MW,kcat_MW
VALt2rpp,DLkcat,1811.657379070162,,
PUACGAMS,DLkcat,1811.657379070162,,
XYLK_num1,DLkcat,545.537411727458,,
METNA_reverse,DLkcat,545.537411727458,,
ORPT_reverse,DLkcat,229.50963769458312,47133.412200000006,17529.702542955274
E4PP_num2,DLkcat,229.50963769458312,,
PPCK,DLkcat,229.50963769458312,59642.74990000014,13853.061723106386
MI1PP,DLkcat,229.50963769458312,29171.7701,28323.09088095066
OAADC,DLkcat,229.50963769458312,66851.26949999997,12359.297016797858
SERt2rpp_num1,DLkcat,229.50963769458312,,
CS,DLkcat,229.50963769458312,288086.8374000003,2868.0057136845026
2DDARAA_reverse_num1,DLkcat,184.70413182781493,,
LEUTAi_num1,DLkcat,184.70413182781493,204559.4634000001,3250.5700959916253
IDOND2,DLkcat,180.06711306374774,,
GLYCLTDx_num2,DLkcat,180.06711306374774,,
MALS_num1,DLkcat,180.06711306374774,,
ACACCT_num2,DLkcat,180.06711306374774,230246.27200000017,2815.4271571853787
GLXCL,DLkcat,180.06711306374774,258924.1532000004,2503.596512793349
FHL_num1,DLkcat,180.06711306374774,,
GLCptspp_num3,DLkcat,180.06711306374774,,
G1PACT,DLkcat,159.3097940994555,147568.48920000007,3886.4344404905614
PRAMPC,DLkcat,147.91502098856446,,
UGLYCH,DLkcat,96.06349232627436,36338.66499999998,9516.82106028353
FACOAL180t2pp_num1,DLkcat,83.84012168321993,125517.29120000034,2404.644293818149
NADH10_num4,DLkcat,83.54885239895054,41690.61919999995,7214.473529244735
FUM_num2,DLkcat,83.54885239895054,120595.73340000011,2494.0838299692423
GLUSy,DLkcat,83.54885239895054,215309.7674000002,1396.94484030278
DMSOR1_num1,DLkcat,83.54885239895054,,
DMSOR2,DLkcat,83.54885239895054,144092.2266000004,2087.3844185306043
DMSOR1pp,DLkcat,83.54885239895054,,
ARBt2rpp,DLkcat,83.54885239895054,,
SADH,DLkcat,83.54885239895054,98595.93000000015,3050.591121116475
FUM_num3,DLkcat,83.54885239895054,201953.33800000025,1489.3334847291387
F6PA_reverse_num1,DLkcat,69.62689854059693,229965.55799999984,1089.9755464518262
ASPCT_num1,DLkcat,69.62689854059693,618568.5624000002,405.2207790412416
MALS_num2,DLkcat,69.62689854059693,80487.5899000002,3114.229598097934
TMAOR1_num2,DLkcat,69.62689854059693,,
NADS1,DLkcat,69.62689854059693,61272.91520000001,4090.826002451225
GLYCLTDx_num1,DLkcat,69.5562354139795,70790.19840000008,3537.247431846806
G1PTT_num2,DLkcat,69.5562354139795,130935.96320000004,1912.4039062350296
ASNS2_num2,DLkcat,69.5562354139795,125316.56320000046,1998.159230481716
AKGDH,DLkcat,69.5562354139795,1367757.7176000015,183.0751486671969
RNDR4b_num1,DLkcat,65.00692792288358,259598.92620000092,901.4865506110864
PHYTSpp,DLkcat,61.344739085041006,47056.27350000005,4693.126851750117
FACOAL100t2pp_num2,DLkcat,59.507895368453305,125517.29120000034,1706.7642336630613
HISt2rpp,DLkcat,59.507895368453305,,
ACGAMT,DLkcat,57.063283581709584,,
PAPPT3,DLkcat,57.063283581709584,,
UAGCVT,DLkcat,57.063283581709584,,
UAGAAT,DLkcat,57.063283581709584,92878.41240000002,2211.7929838145515
UAGDP,DLkcat,52.91107539188916,147568.48920000007,1290.7896017871606
CBIAT,DLkcat,51.78678409691066,,
RIBabcpp_num2,DLkcat,51.78678409691066,160239.38260000007,1163.461938781074
RNDR4b_num4,DLkcat,49.198935661722246,,
FEOXAMexs,DLkcat,49.198935661722246,0.0,inf
SERAT,DLkcat,49.030545655950206,175897.82639999987,1003.4800768943492
ASPCT_num2,DLkcat,49.030545655950206,413123.3544000002,427.2572888496586
CRNCDH_reverse,DLkcat,49.030545655950206,84569.68620000001,2087.154065393951
ALAabcpp,DLkcat,45.25391345988196,,
ALLabcpp,DLkcat,45.25391345988196,,
DNTPPA_num1,DLkcat,45.25391345988196,,
GTHOr,DLkcat,44.34528247676063,97543.89440000008,1636.6274680574793
CHTBSptspp,DLkcat,38.4344729658555,,
GUAPRT_num2,DLkcat,38.4344729658555,67881.54559999991,2038.3169159465924
APCS,DLkcat,38.4344729658555,64642.031800000055,2140.466486343947
CELBpts_num1,DLkcat,38.4344729658555,,
NNAM,DLkcat,35.65562570088102,,
TMK,DLkcat,35.65562570088102,,
K2L4Aabctex,DLkcat,34.33856394165991,408235.6288000008,302.8124481769276
FDH4pp_num1,DLkcat,34.33856394165991,170254.19620000088,726.0838966033957
ECA4COLIPAabctex,DLkcat,33.81246352611123,408235.6288000008,298.17306503062423
2DGULRy,DLkcat,33.81246352611123,70790.19840000008,1719.5158573534989
2DGULRx,DLkcat,33.81246352611123,70790.19840000008,1719.5158573534989
ACOLIPAabctex,DLkcat,33.81246352611123,408235.6288000008,298.17306503062423
ACCOAL_num1,DLkcat,33.66240634310002,72092.70770000026,1680.9559066562792
